ident	plano	sexo	opiniaoPlano	marcaCel	motivoOptOperadora	anoDeUsoCel
1	Pos-pago	Masculino	Mediana	Gradiente	QS	3
2	Pre-pago	Feminino	Mediana	Ericsson	MC	4
3	Pos-pago	Masculino	Sofrivel	Gradiente	QS	7
4	Pre-pago	Feminino	Mediana	Ericsson	MC	9
5	Pos-pago	Feminino	Sofrivel	Gradiente	QS	3
6	Pre-pago	Masculino	Excelente	Motorola	MC	5
7	Pre-pago	Masculino	Confiavel	Motorola	MC	4
8	Pos-pago	Masculino	Mediana	Siemens	MC	5
9	Pre-pago	Feminino	Terrivel	Gradiente	MC	5
10	Pos-pago	Masculino	Mediana	Motorola	QS	5
11	Pre-pago	Masculino	Sofrivel	Ericsson	QS	8
12	Pos-pago	Masculino	Excelente	Motorola	MC	5
13	Pre-pago	Feminino	Mediana	Motorola	MC	7
14	Pre-pago	Masculino	Confiavel	Ericsson	MC	1
15	Pos-pago	Feminino	Mediana	Motorola	MC	6
16	Pos-pago	Masculino	Mediana	Ericsson	MC	6
17	Pre-pago	Feminino	Mediana	Gradiente	MC	1
18	Pos-pago	Masculino	Confiavel	Motorola	QS	1
19	Pos-pago	Masculino	Mediana	Siemens	TM	10
20	Pos-pago	Masculino	Excelente	Gradiente	MC	6
21	Pre-pago	Feminino	Sofrivel	Motorola	MC	2
22	Pre-pago	Feminino	Confiavel	Ericsson	MC	4
23	Pre-pago	Masculino	Mediana	Motorola	QS	8
24	Pos-pago	Masculino	Sofrivel	Motorola	TM	10
25	Pos-pago	Feminino	Terrivel	Gradiente	TM	4
26	Pos-pago	Masculino	Terrivel	Siemens	TM	10
27	Pos-pago	Feminino	Excelente	Siemens	MC	6
28	Pre-pago	Feminino	Confiavel	Ericsson	MC	3
29	Pos-pago	Masculino	Terrivel	Motorola	TM	8
30	Pre-pago	Masculino	Excelente	Ericsson	MC	5
31	Pos-pago	Masculino	Sofrivel	Motorola	TM	6
32	Pre-pago	Feminino	Excelente	Gradiente	QS	9
33	Pre-pago	Feminino	Confiavel	Gradiente	MC	5
34	Pos-pago	Masculino	Sofrivel	Samsung	TM	8
35	Pre-pago	Feminino	Mediana	Samsung	MC	3
36	Pre-pago	Masculino	Sofrivel	Motorola	MC	8
37	Pre-pago	Masculino	Sofrivel	Siemens	TM	6
38	Pre-pago	Masculino	Mediana	Samsung	MC	4
39	Pos-pago	Feminino	Sofrivel	Motorola	QS	7
40	Pre-pago	Masculino	Confiavel	Gradiente	MC	0
41	Pos-pago	Masculino	Confiavel	Ericsson	MC	8
42	Pos-pago	Masculino	Sofrivel	Siemens	QS	7
43	Pos-pago	Feminino	Sofrivel	Samsung	MC	5
44	Pos-pago	Masculino	Terrivel	Motorola	TM	10
45	Pos-pago	Masculino	Mediana	Gradiente	TM	5
46	Pos-pago	Masculino	Terrivel	Samsung	TM	6
47	Pre-pago	Masculino	Mediana	Samsung	MC	4
48	Pre-pago	Masculino	Mediana	Motorola	MC	6
49	Pre-pago	Masculino	Mediana	Siemens	MC	5
50	Pre-pago	Masculino	Mediana	Motorola	MC	6
