Ano;Município;Situações;Extrativa Mineral;Industria de Transformação;Serviços Industrial de Utilidade Pública;Construção Civil;Comércio;Serviços;Administração Pública;Agropecuária, Extração vegetal, Caça e Pesca;Outros
2018;Elói Mendes;Admissões;0;373;1;279;570;378;0;451;0
2018;Elói Mendes;Desligamentos;0;298;0;157;551;398;0;520;0
2018;Três Corações;Admissões;27;925;1;259;1638;1492;0;1281;0
2018;Três Corações;Desligamentos;32;1071;11;252;1857;1403;0;1295;0
2019;Três Corações;Admissões;56;1163;28;197;1521;1562;0;1303;0
2019;Três Corações;Desligamentos;52;998;10;231;1477;1381;0;1241;0
2019;Elói Mendes;Admissões;2;452;0;121;619;387;0;532;0
2019;Elói Mendes;Desligamentos;0;371;0;188;550;372;0;499;0
2020;Três Corações;Admissões;35;1258;2;285;1336;1409;36;28;0
2020;Três Corações;Desligamentos;74;1121;23;357;1419;1302;226;20;0
2020;Elói Mendes;Admissões;0;566;1;200;533;269;55;6;0
2020;Elói Mendes;Desligamentos;2;436;1;158;521;356;33;11;0
2018;Campo do Meio;Admissões;0;81;0;10;128;72;0;341;0
2018;Campo do Meio;Desligamentos;0;77;0;15;111;46;0;351;0
2018;Alfenas;Admissões;8;779;51;343;2309;2383;0;1974;0
2018;Alfenas;Desligamentos;8;827;29;421;2306;2344;0;1987;0
2018;Santana da Vargem;Admissões;0;34;11;19;70;126;0;587;0
2018;Santana da Vargem;Desligamentos;0;32;5;16;66;109;0;632;0
2019;Campo do Meio;Admissões;6;52;0;12;135;61;0;326;0
2019;Campo do Meio;Desligamentos;2;71;0;10;119;60;0;388;0
2019;Alfenas;Admissões;9;1091;1;602;2508;2638;18;1925;0
2019;Alfenas;Desligamentos;4;927;2;453;2346;2429;0;1964;0
2019;Santana da Vargem;Admissões;0;40;7;24;67;132;0;566;0
2019;Santana da Vargem;Desligamentos;0;36;6;26;67;124;0;527;0
2020;Campo do Meio;Admissões;0;79;0;6;92;45;12;18;0
2020;Campo do Meio;Desligamentos;0;62;0;5;89;41;18;20;0
2020;Alfenas;Admissões;19;1331;35;773;2304;1556;584;715;0
2020;Alfenas;Desligamentos;19;1146;24;664;2268;1626;716;657;0
2020;Santana da Vargem;Admissões;0;35;102;61;69;92;1;6;0
2020;Santana da Vargem;Desligamentos;0;27;29;51;69;94;1;4;0
2018;Poços de Caldas;Admissões;20;2.845;18;2.028;5.786;8.974;383;822;0
