Municipios;Microregião;Prop.Adm.Agro;Prop.Desl.Agro;Prop.Trab.Agro;Prop.Adm.Comer;Prop.Desl.Comer;Prop.Trab.Comer;Prop.Adm.Const;Prop.Desl.Const;Prop.Trab.Const;Prop.Adm.Indust;Prop.Desl.Indust;Prop.Trab.Indust;Prop.Adm.Serv;Prop.Desl.Serv;Prop.Trab.Serv
Albertina;Poços de Caldas;4;4;63;24;22;78;3;2;3;33;17;71;1;7;28
Andradas;Poços de Caldas;143;135;1975;950;895;1992;43;63;100;1404;1161;3452;555;614;1989
Bandeira do Sul;Poços de Caldas;0;6;24;63;39;140;1;3;31;99;450;167;8;9;60
Botelhos;Poços de Caldas;129;144;727;153;151;452;61;41;56;132;77;203;252;236;766
Caldas;Poços de Caldas;69;53;183;178;155;471;9;11;20;163;157;605;112;109;380
Campestre;Poços de Caldas;106;108;432;243;244;627;236;149;252;196;278;370;187;115;494
Ibitiúra de Minas;Poços de Caldas;0;4;26;15;20;43;1;1;0;4;7;40;34;20;99
Inconfidentes;Poços de Caldas;0;0;63;37;48;198;0;5;17;152;170;385;10;36;131
Jacutinga;Poços de Caldas;4;17;510;432;418;1165;42;46;65;1816;1585;3357;541;586;1623
Monte Sião;Poços de Caldas;38;38;190;338;409;1044;5;17;58;746;843;1786;175;238;775
Ouro Fino;Poços de Caldas;75;82;434;618;532;1669;57;49;66;524;558;1724;440;382;1646
Poços de Caldas;Poços de Caldas;197;206;895;4797;5254;11062;1452;1677;2413;3039;3161;9596;7784;9406;23484
Santa Rita de Caldas;Poços de Caldas;4;2;122;101;83;210;0;0;3;47;35;295;53;53;175
Arceburgo;São Sebastião do Paraíso;208;202;398;103;86;282;47;43;19;126;100;793;86;79;337
Cabo Verde;São Sebastião do Paraíso;59;62;617;108;92;245;4;11;17;53;41;132;56;49;342
Guaranésia;São Sebastião do Paraíso;19;26;572;198;191;500;19;28;39;1146;881;2874;157;151;642
Guaxupé;São Sebastião do Paraíso;124;125;897;1452;1629;4598;234;243;261;1555;1206;3391;1101;1165;3777
Itamogi;São Sebastião do Paraíso;10;17;343;128;118;431;26;24;13;84;64;192;39;31;295
Jacuí;São Sebastião do Paraíso;89;82;223;36;41;153;2;9;11;51;41;177;30;39;137
Juruaia;São Sebastião do Paraíso;0;0;106;210;159;411;13;11;10;573;542;1471;101;90;224
Monte Belo;São Sebastião do Paraíso;586;593;549;260;240;554;4;16;59;428;308;1676;653;446;999
Monte Santo de Minas;São Sebastião do Paraíso;142;98;1111;284;257;842;85;70;172;346;262;660;187;172;1059
Muzambinho;São Sebastião do Paraíso;27;31;351;306;302;777;1000;902;609;169;145;396;248;246;939
Nova Resende;São Sebastião do Paraíso;127;131;151;368;318;596;60;45;23;106;137;144;66;68;353
São Pedro da União;São Sebastião do Paraíso;7;7;116;30;28;98;12;22;0;9;24;27;37;29;96
São Sebastião do Paraíso;São Sebastião do Paraíso;388;326;1783;1417;1473;4009;325;330;465;2026;2178;4257;1463;1288;5562
São Tomás de Aquino;São Sebastião do Paraíso;86;99;488;36;35;158;4;38;2;115;78;314;30;24;142
Alpinópolis;Passos;28;29;321;257;252;786;28;25;55;156;145;463;161;158;825
Bom Jesus da Penha;Passos;4;5;206;32;29;97;11;15;39;1;11;5;38;36;147
Capetinga;Passos;7;2;367;44;27;142;1;2;12;134;89;278;69;69;190
Capitólio;Passos;17;16;136;159;154;438;31;23;68;40;58;241;503;716;1355
Cássia;Passos;39;34;571;325;272;641;7;3;36;196;296;348;207;170;1168
Claraval;Passos;8;7;70;22;17;75;1;1;2;230;329;420;5;4;27
Delfinópolis;Passos;211;204;1127;65;51;188;1;1;14;8;6;18;147;138;506
Fortaleza de Minas;Passos;5;2;140;3;11;42;1;2;31;29;17;36;10;10;48
Ibiraci;Passos;7;2;761;167;148;435;4;7;8;181;242;191;75;96;365
Itaú de Minas;Passos;2;3;52;188;191;461;859;900;702;274;273;749;227;207;735
Passos;Passos;195;182;950;2878;2628;7196;1005;885;1330;1588;1723;4126;2575;2517;8928
Pratápolis;Passos;28;18;106;59;82;181;66;72;19;169;182;162;91;93;385
São João Batista do Glória;Passos;77;56;464;54;51;171;47;44;75;27;21;114;64;69;163
São José da Barra;Passos;15;16;439;66;81;227;29;13;52;9;6;261;92;50;278
Brasópolis;Itajubá;0;0;191;80;81;270;2;10;4;163;72;377;64;58;228
Consolação;Itajubá;2;2;28;3;1;12;0;0;0;3;2;12;0;2;4
Cristina;Itajubá;2;2;255;43;37;172;12;5;15;166;178;609;27;24;188
Delfim Moreira;Itajubá;8;10;162;30;21;127;8;5;6;12;27;200;22;20;152
Dom Viçoso;Itajubá;2;0;86;1;2;20;1;3;1;2;1;4;1;0;18
Itajubá;Itajubá;7;2;251;1776;1934;4952;435;352;580;1351;1425;6979;2240;2462;7748
Maria da Fé;Itajubá;2;0;145;105;73;327;16;21;8;117;151;258;75;63;295
Marmelópolis;Itajubá;0;0;21;10;3;45;0;3;0;4;6;57;0;3;24
Paraisópolis;Itajubá;16;15;201;278;261;691;24;16;45;545;293;2110;271;260;1007
Piranguçu;Itajubá;0;0;57;28;27;68;2;1;0;37;63;118;9;4;35
Piranguinho;Itajubá;11;11;108;97;98;276;120;103;73;65;68;135;47;47;180
Wenceslau Brás;Itajubá;0;0;33;4;6;26;0;1;0;23;23;97;3;3;17
Virgínia;Itajubá;0;0;101;19;28;177;6;1;6;72;139;304;219;197;427
Aiuruoca;Andrelândia;30;13;310;46;41;140;1;4;16;41;24;65;49;28;236
Andrelândia;Andrelândia;69;69;327;118;110;395;8;6;44;77;59;169;81;61;321
Arantina;Andrelândia;0;0;5;11;11;38;38;12;12;36;20;38;5;8;30
Bocaina de Minas;Andrelândia;0;0;61;23;19;67;10;5;5;5;7;48;40;44;135
Bom Jardim de Minas;Andrelândia;33;30;125;57;69;189;7;6;3;13;16;86;44;40;243
Carvalhos;Andrelândia;6;4;49;27;27;113;0;0;2;18;21;59;6;9;48
Cruzília;Andrelândia;21;5;304;192;194;603;13;24;20;185;188;1050;98;106;406
Liberdade;Andrelândia;4;3;149;16;18;123;0;0;2;7;10;59;9;7;57
Minduri;Andrelândia;31;20;169;19;7;92;0;0;6;35;37;217;15;12;70
Passa-Vinte;Andrelândia;0;0;27;6;7;25;65;35;1;0;0;0;6;10;30
São Vicente de Minas;Andrelândia;237;182;533;54;44;195;13;17;21;101;110;502;23;26;175
Seritinga;Andrelândia;0;0;14;13;9;48;0;0;0;27;25;114;18;6;44
Serranos;Andrelândia;8;3;120;0;1;9;0;0;0;1;2;2;2;0;13
Alagoa;São Lourenço;24;9;62;14;14;53;5;3;4;25;20;40;3;4;19
Baependi;São Lourenço;21;16;454;233;256;891;50;34;91;220;152;482;144;155;839
Cambuquira;São Lourenço;12;34;453;98;88;301;0;8;4;138;116;254;97;133;256
Carmo de Minas;São Lourenço;20;8;1053;317;119;519;15;19;30;37;65;97;63;58;249
Caxambu;São Lourenço;0;4;122;277;332;1051;52;41;136;117;154;207;226;326;1149
Conceição do Rio Verde;São Lourenço;334;328;803;163;177;402;39;36;62;233;334;205;45;53;242
Itamonte;São Lourenço;4;14;157;183;137;555;46;23;51;363;328;1299;129;100;582
Itanhandu;São Lourenço;219;243;1277;159;167;589;22;16;37;281;363;1044;273;209;838
Jesuânia;São Lourenço;0;7;278;16;15;54;0;0;0;14;17;33;3;3;32
Lambari;São Lourenço;0;0;91;289;272;796;29;18;30;130;136;599;176;202;642
Olímpio Noronha;São Lourenço;0;0;109;18;15;36;0;5;0;10;12;44;6;5;24
Passa-Quatro;São Lourenço;22;32;370;110;121;399;66;65;106;278;345;1010;193;171;836
Pouso Alto;São Lourenço;35;10;339;74;62;162;2;2;6;199;156;736;57;68;221
São Lourenço;São Lourenço;1;0;55;1164;1207;3581;240;223;480;271;269;716;1305;1707;5687
São Sebastião do Rio Verde;São Lourenço;0;0;37;12;12;38;2;5;15;19;36;110;4;5;16
Soledade de Minas;São Lourenço;1;2;120;12;7;58;10;9;0;66;46;93;33;38;141
Cachoeira de Minas;Santa Rita do Sapucaí;4;0;191;63;62;169;17;21;19;422;302;1122;31;25;309
